SA2_CODE,SA2_NAME_BOUNDARY,listing_count,occupied_nights,avg_occupancy,avg_availability_365,total_reviews,avg_reviews_per_listing,avg_review_score,avg_price,SA2_NAME,population,children_0_14,young_adults_20_34,older_65_plus,pct_children_0_14,pct_young_adults_20_34,pct_older_65_plus,listings_per_1000_people,occupied_nights_per_1000_people,reviews_per_1000_people
120011672,Concord West - North Strathfield,49,4160,84.89795918367346,282.9183673469388,2079,42.42857142857143,4.4815555555555555,,Concord West - North Strathfield,13291.0,2069.0,3484.0,1878.0,15.566924986833195,26.213226995711388,14.129862312843278,3.686705289293507,312.9937551726733,156.42163870288164
121011685,Greenwich - Riverview,48,1690,35.208333333333336,179.54166666666666,863,17.979166666666668,4.6136585365853655,,Greenwich - Riverview,13152.0,2096.0,2589.0,2436.0,15.936739659367397,19.68521897810219,18.52189781021898,3.6496350364963503,128.49756690997566,65.61739659367396
120031394,Dulwich Hill - Lewisham,66,4895,74.16666666666667,195.53030303030303,2424,36.72727272727273,4.597118644067797,,Dulwich Hill - Lewisham,18681.0,2364.0,5318.0,2340.0,12.654568813232697,28.46742679728066,12.526096033402922,3.533001445318773,262.03094052780904,129.75750762807132
118021654,South Coogee,20,936,46.8,220.5,326,16.3,4.935625,,South Coogee,5750.0,1028.0,1091.0,1045.0,17.878260869565217,18.97391304347826,18.173913043478258,3.4782608695652177,162.78260869565216,56.69565217391304
128011606,Woolooware - Burraneer,33,1231,37.303030303030305,220.8181818181818,1021,30.939393939393938,4.870434782608696,,Woolooware - Burraneer,9535.0,1647.0,1887.0,1744.0,17.273203985317252,19.79024646040902,18.29050865233351,3.46093340325118,129.10330361824856,107.07918196119559
120031677,Ashfield - South,43,3877,90.16279069767442,110.88372093023256,1180,27.441860465116278,4.707,,Ashfield - South,12873.0,1427.0,4238.0,2184.0,11.085217121106192,32.921618892255104,16.965742251223492,3.3403247106346616,301.1729977472229,91.6647246174163
121031408,Lindfield - Roseville,83,3589,43.24096385542169,151.74698795180723,1866,22.481927710843372,4.497090909090909,,Lindfield - Roseville,25605.0,4627.0,4225.0,4440.0,18.070689318492484,16.500683460261666,17.340363210310485,3.241554383909393,140.16793595000976,72.87639132981839
118021652,Malabar - La Perouse,35,2140,61.142857142857146,174.82857142857142,1658,47.371428571428574,4.856206896551725,,Malabar - La Perouse,10915.0,1494.0,2000.0,2310.0,13.68758589097572,18.323408153916628,21.163536417773706,3.20659642693541,196.06046724690793,151.90105359596885
115021297,Dural - Kenthurst - Wisemans Ferry,71,3974,55.971830985915496,233.46478873239437,2147,30.239436619718308,4.664736842105263,,Dural - Kenthurst - Wisemans Ferry,22941.0,3943.0,3596.0,4642.0,17.187568109498276,15.674992371736193,20.23451462447147,3.0948956017610394,173.22697354082212,93.5878993940979
127031601,Warwick Farm,20,1132,56.6,160.15,566,28.3,4.738333333333333,,Warwick Farm,6482.0,1120.0,1755.0,837.0,17.278617710583152,27.074976858994138,12.91268127121259,3.08546744831842,174.63745757482258,87.31872878741129
125041718,Parramatta - South,34,2070,60.88235294117647,192.05882352941177,767,22.558823529411764,4.524333333333333,,Parramatta - South,11111.0,1611.0,5001.0,749.0,14.499144991449914,45.00945009450095,6.741067410674106,3.060030600306003,186.3018630186302,69.03069030690307
121011399,Chatswood (West) - Lane Cove North,71,4410,62.11267605633803,188.56338028169014,1718,24.197183098591548,4.695862068965518,,Chatswood (West) - Lane Cove North,23203.0,3781.0,5601.0,3115.0,16.295306641382577,24.139119941386888,13.4249881480843,3.059949144507176,190.0616299616429,74.0421497220187
121021578,Hornsby - West,33,2597,78.6969696969697,205.72727272727272,1192,36.121212121212125,4.7299999999999995,,Hornsby - West,10794.0,2071.0,1638.0,1826.0,19.186585139892536,15.17509727626459,16.91680563275894,3.0572540300166757,240.59662775616084,110.43172132666295
119041381,Rockdale - Banksia,69,7989,115.78260869565217,179.0144927536232,2518,36.492753623188406,4.671896551724139,,Rockdale - Banksia,22574.0,2797.0,8129.0,2865.0,12.39036059183131,36.010454505182956,12.69159209710286,3.0566138034907415,353.9027199432976,111.54425445202446
122031432,Terrey Hills - Duffys Forest,11,639,58.09090909090909,255.27272727272728,333,30.272727272727273,4.865555555555556,,Terrey Hills - Duffys Forest,3629.0,589.0,474.0,876.0,16.230366492146597,13.06144943510609,24.138881234499863,3.031138054560485,176.08156516946818,91.76081565169468
120011385,Drummoyne - Rodd Point,57,3579,62.78947368421053,171.28070175438597,1418,24.87719298245614,4.737608695652174,,Drummoyne - Rodd Point,18962.0,2964.0,3590.0,3622.0,15.631262525050099,18.93260204619766,19.10136061596878,3.006012024048096,188.74591287838834,74.78114122982808
120031395,Haberfield - Summer Hill,41,5979,145.82926829268294,109.90243902439025,1892,46.146341463414636,4.7389743589743585,,Haberfield - Summer Hill,14007.0,1895.0,3410.0,2292.0,13.528949810808882,24.34497037195688,16.363246947954593,2.9271078746341117,426.8579995716428,135.07531948311558
125011583,Auburn - North,35,2510,71.71428571428571,307.14285714285717,802,22.914285714285715,4.2240625,,Auburn - North,12016.0,1585.0,5720.0,990.0,13.190745672436751,47.603195739014645,8.23901464713715,2.9127829560585887,208.88814913448735,66.74434087882823
120031680,Strathfield - East,50,2234,44.68,227.54,994,19.88,4.6375,,Strathfield - East,18418.0,1345.0,9944.0,1951.0,7.30263872298838,53.99066130958845,10.592898251710285,2.714735584754045,121.29438592681073,53.968943424910414
119011571,Bankstown - North,49,3144,64.16326530612245,171.91836734693877,1261,25.73469387755102,4.782619047619048,,Bankstown - North,18376.0,3750.0,5002.0,2192.0,20.40705267740531,27.220287331301694,11.928602525032652,2.6665215498476273,171.09272964736613,68.6221158032216
127031732,Liverpool - West,39,1896,48.61538461538461,261.2307692307692,713,18.28205128205128,4.178709677419355,,Liverpool - West,14883.0,2908.0,3623.0,2362.0,19.53907142377209,24.343210374252504,15.870456225223409,2.620439427534771,127.39367063092119,47.90700799569979
126021725,Ryde - South,34,1818,53.470588235294116,164.52941176470588,773,22.735294117647058,4.570333333333334,,Ryde - South,13038.0,2017.0,4026.0,1410.0,15.47016413560362,30.878969167050162,10.814542107685227,2.6077619266758707,139.43856419696272,59.288234391777884
